institute_name,city,state,certification_type,approved _by,course_duration_months
Garuda Aerospace Training Academy,,"Chennai,Tamilnadu",Pilot Cetification,DGCA,3
DroneAcharya Aerial Innovations,,"Pune,Maharastra",RPTO Certification,DGCA,2
Indian Institue of Drones,,"Chandigarh,Punjab",Commerical Drone Pilot,DGCA,3
FlyTech Aviation Academy,,"Hyderabad,Telangana",Drone Pilot License,DGCA,2
Skylark Drone Training,,"Benguluru,Karnataka",Indrustrial Drone Operations,DGCA,3
Thrust Flight Academy,,"Delhi,Delhi",Drone Pilot  Certification,DGCA,2
Marut Drone Academy,,"Hyderabad,Telangana",Agriculture Drone  Training ,DGCA,2
